Known wins loaded: 65693
Known losses loaded: 4782
Loaded 79563 moves from map in 62s.
37603/50614 done, 741s remaining
37938/50614 done, 722s remaining
38262/50614 done, 704s remaining
38387/50614 done, 696s remaining
Analyzing round 18 move took 10s
38782/50614 done, 674s remaining
39590/50614 done, 617s remaining
40986/50614 done, 519s remaining
41744/50614 done, 478s remaining
42250/50614 done, 443s remaining
42891/50614 done, 409s remaining
43368/50614 done, 376s remaining
44062/50614 done, 340s remaining
45199/50614 done, 276s remaining
45319/50614 done, 270s remaining
45557/50614 done, 257s remaining
45638/50614 done, 253s remaining
45701/50614 done, 250s remaining
45865/50614 done, 242s remaining
46213/50614 done, 224s remaining
Analyzing round 18 move took 17s
46218/50614 done, 228s remaining
46414/50614 done, 218s remaining
46418/50614 done, 218s remaining
46444/50614 done, 216s remaining
46702/50614 done, 203s remaining
46863/50614 done, 195s remaining
Analyzing round 18 move took 18s
46865/50614 done, 198s remaining
Analyzing round 18 move took 10s
46868/50614 done, 198s remaining
Analyzing round 18 move took 14s
46869/50614 done, 198s remaining
Analyzing round 18 move took 22s
46870/50614 done, 202s remaining
46907/50614 done, 200s remaining
46943/50614 done, 198s remaining
47348/50614 done, 176s remaining
47380/50614 done, 174s remaining
48597/50614 done, 106s remaining
50059/50614 done, 28s remaining
Round   Moves  Terminal      Wins    Losses Different
 1          0         0         0         0         0
 2          0         0         0         0         0
 3          0         0         0         0         0
 4          0         0         0         0         0
 5          0         0         0         0         0
 6          0         0         0         0         0
 7          0         0         0         0         0
 8          0         0         0         0         0
 9          0         0         0         0         0
10          0         0         0         0         0
11         53        53        52         0         0
12        173       173       173         0         0
13        350       350       345         0         3
14       1196      1196      1183         5         4
15       1708      1708      1664         9        12
16       6724      6724      6507       191         8
17       9031      9031      7093       353       431
18      31379     31379     28488      1927       191
------------------------------------------------------
Total   79563     50614     45505      2485       649
Analysis time: 2612s
